Day Of Week,Average of Time In Queue
Friday,136.5191282170183
Monday,155.5992028774181
Saturday,247.2667358947733
Sunday,81.45009498757855
Thursday,121.77488352393054
Tuesday,121.28440663364204
Wednesday,108.77081394146241
